,incorrect,sequence,session_end,session_seconds,session_start,special,total_commands
0,0,23,2020-02-07 21:31:16.524228,513.113095,2020-02-07 21:22:43.411133,5,28
1,0,4,2020-02-07 22:09:13.219582,27.400198,2020-02-07 22:08:45.819384,1,5
2,0,8,2020-02-07 22:23:58.466970,400.174628,2020-02-07 22:17:18.292342,8,16
3,3,9,2020-02-08 10:21:55.373558,573.263519,2020-02-08 10:12:22.110039,4,16
4,6,43,2020-02-08 10:40:55.113595,714.642407,2020-02-08 10:29:00.471188,11,60
5,3,6,2020-02-08 10:59:12.634329,742.840685,2020-02-08 10:46:49.793644,46,55
6,1,18,2020-02-08 11:10:14.003028,153.966342,2020-02-08 11:07:40.036686,48,67
7,17,244,2020-02-08 12:40:41.753487,2937.757817,2020-02-08 11:51:43.995670,184,445
8,16,193,2020-02-08 13:23:33.799195,2264.236007,2020-02-08 12:45:49.563188,350,559
9,13,119,2020-02-08 14:10:32.699952,1747.600238,2020-02-08 13:41:25.099714,29,161
10,1,0,2020-02-12 21:40:32.080792,0.0,2020-02-12 21:40:32.080792,0,1
11,0,84,2020-02-12 22:10:11.568066,693.694631,2020-02-12 21:58:37.873435,23,107
